Team,No,Position,Player,Date_of_Birth,Age,Caps,Goals,Club
Czech Republic,,GK,Matěj Kovář,"May 17, 2000",26,19,0,PSV Eindhoven
Czech Republic,,GK,Jindřich Staněk,"April 27, 1996",30,14,0,Slavia Prague
Czech Republic,,GK,Lukáš Horníček,"July 13, 2002",23,1,0,Braga
Czech Republic,,DF,Vladimír Coufal,"August 22, 1992",33,61,2,TSG Hoffenheim
Czech Republic,,DF,Tomáš Holeš,"March 31, 1993",33,40,2,Slavia Prague
Czech Republic,,DF,Ladislav Krejčí (captain),"April 20, 1999",27,26,5,Wolverhampton Wanderers
Czech Republic,,DF,David Zima,"November 8, 2000",25,24,1,Slavia Prague
Czech Republic,,DF,Jaroslav Zelený,"August 20, 1992",33,22,0,Sparta Prague
Czech Republic,,DF,David Jurásek,"August 7, 2000",25,17,1,Slavia Prague
Czech Republic,,DF,David Douděra,"May 31, 1998",28,16,2,Slavia Prague
Czech Republic,,DF,Robin Hranáč,"January 29, 2000",26,13,1,TSG Hoffenheim
Czech Republic,,DF,Štěpán Chaloupek,"March 8, 2003",23,4,0,Slavia Prague
Czech Republic,,MF,Tomáš Souček,"February 27, 1995",31,89,17,West Ham United
Czech Republic,,MF,Vladimír Darida,"August 8, 1990",35,78,8,Hradec Králové
Czech Republic,,MF,Lukáš Provod,"October 23, 1996",29,37,3,Slavia Prague
Czech Republic,,MF,Michal Sadílek,"May 31, 1999",27,34,1,Slavia Prague
Czech Republic,,MF,Pavel Šulc,"December 29, 2000",25,20,5,Lyon
Czech Republic,,MF,Lukáš Červ,"April 10, 2001",25,16,2,Viktoria Plzeň
Czech Republic,,MF,Hugo Sochůrek,"June 7, 2008",18,1,0,Sparta Prague
Czech Republic,,MF,Alexandr Sojka,"April 2, 2003",23,1,0,Viktoria Plzeň
Czech Republic,,MF,Denis Višinský,"March 21, 2003",23,1,0,Viktoria Plzeň
Czech Republic,,FW,Patrik Schick,"January 24, 1996",30,52,25,Bayer Leverkusen
Czech Republic,,FW,Adam Hložek,"July 25, 2002",23,42,5,TSG Hoffenheim
Czech Republic,,FW,Jan Kuchta,"January 8, 1997",29,31,3,Sparta Prague
Czech Republic,,FW,Mojmír Chytil,"April 29, 1999",27,22,6,Slavia Prague
Czech Republic,,FW,Tomáš Chorý,"January 26, 1995",31,21,6,Slavia Prague
Mexico,,GK,Guillermo Ochoa,"July 13, 1985",40,152,0,AEL Limassol
Mexico,,GK,Raúl Rangel,"February 25, 2000",26,13,0,Guadalajara
Mexico,,GK,Carlos Acevedo,"April 19, 1996",30,7,0,Santos Laguna
Mexico,,DF,Jesús Gallardo,"August 15, 1994",31,120,3,Toluca
Mexico,,DF,César Montes,"February 24, 1997",29,66,4,Lokomotiv Moscow
Mexico,,DF,Jorge Sánchez,"December 10, 1997",28,58,3,PAOK
Mexico,,DF,Johan Vásquez,"October 22, 1998",27,45,2,Genoa
Mexico,,DF,Israel Reyes,"May 23, 2000",26,33,2,América
Mexico,,DF,Mateo Chávez,"May 11, 2004",22,9,0,AZ
Mexico,,MF,Edson Álvarez (captain),"October 24, 1997",28,97,7,Fenerbahçe
Mexico,,MF,Orbelín Pineda,"March 24, 1996",30,91,12,AEK Athens
Mexico,,MF,Roberto Alvarado,"September 7, 1998",27,66,5,Guadalajara
Mexico,,MF,Luis Romo,"June 5, 1995",31,62,4,Guadalajara
Mexico,,MF,Luis Chávez,"January 15, 1996",30,44,4,Dynamo Moscow
Mexico,,MF,Érik Lira,"May 8, 2000",26,24,0,Cruz Azul
Mexico,,MF,Gilberto Mora,"October 14, 2008",17,7,0,Tijuana
Mexico,,MF,Brian Gutiérrez,"June 17, 2003",22,6,2,Guadalajara
Mexico,,MF,Obed Vargas,"August 5, 2005",20,6,0,Atlético Madrid
Mexico,,MF,Álvaro Fidalgo,"April 9, 1997",29,3,0,Real Betis
Mexico,,FW,Raúl Jiménez,"May 5, 1991",35,123,44,Fulham
Mexico,,FW,Alexis Vega,"November 25, 1997",28,51,7,Toluca
Mexico,,FW,Santiago Giménez,"April 18, 2001",25,47,6,Milan
Mexico,,FW,César Huerta,"December 3, 2000",25,26,3,Anderlecht
Mexico,,FW,Julián Quiñones,"March 24, 1997",29,21,2,Al-Qadsiah
Mexico,,FW,Guillermo Martínez,"March 15, 1995",31,11,3,UNAM
Mexico,,FW,Armando González,"April 20, 2003",23,7,1,Guadalajara
South Africa,,GK,Ronwen Williams (captain),"January 21, 1992",34,62,0,Mamelodi Sundowns
South Africa,,GK,Ricardo Goss,"April 2, 1994",32,4,0,Siwelele
South Africa,,GK,Sipho Chaine,"December 14, 1996",29,3,0,Orlando Pirates
South Africa,,DF,Aubrey Modiba,"July 22, 1995",30,44,3,Mamelodi Sundowns
South Africa,,DF,Khuliso Mudau,"April 26, 1995",31,32,1,Mamelodi Sundowns
South Africa,,DF,Nkosinathi Sibisi,"September 22, 1995",30,19,0,Orlando Pirates
South Africa,,DF,Mbekezeli Mbokazi,"September 19, 2005",20,10,1,Chicago Fire FC
South Africa,,DF,Ime Okon,"February 20, 2004",22,7,1,Hannover 96
South Africa,,DF,Samukele Kabini,"March 15, 2004",22,5,0,Molde
South Africa,,DF,Khulumani Ndamane,"February 5, 2004",22,5,0,Mamelodi Sundowns
South Africa,,DF,Thabang Matuludi,"January 14, 1999",27,2,0,Polokwane City
South Africa,,DF,Kamogelo Sebelebele,"July 21, 2002",23,2,0,Orlando Pirates
South Africa,,DF,Bradley Cross,"January 30, 2001",25,0,0,Kaizer Chiefs
South Africa,,DF,Olwethu Makhanya,"April 30, 2004",22,0,0,Philadelphia Union
South Africa,,MF,Teboho Mokoena,"January 24, 1997",29,51,9,Mamelodi Sundowns
South Africa,,MF,Sphephelo Sithole,"March 3, 1999",27,27,1,Tondela
South Africa,,MF,Thalente Mbatha,"March 6, 2000",26,14,3,Orlando Pirates
South Africa,,MF,Jayden Adams,"May 5, 2001",25,4,0,Mamelodi Sundowns
South Africa,,FW,Themba Zwane,"August 3, 1989",36,53,12,Mamelodi Sundowns
South Africa,,FW,Lyle Foster,"May 9, 2000",26,26,10,Burnley
South Africa,,FW,Evidence Makgopa,"June 5, 2000",26,26,6,Orlando Pirates
South Africa,,FW,Oswin Appollis,"August 25, 2001",24,25,8,Orlando Pirates
South Africa,,FW,Iqraam Rayners,"December 19, 1995",30,13,4,Mamelodi Sundowns
South Africa,,FW,Relebohile Mofokeng,"October 23, 2004",21,12,0,Orlando Pirates
South Africa,,FW,Thapelo Maseko,"November 11, 2003",22,9,1,AEL Limassol
South Africa,,FW,Tshepang Moremi,"October 2, 2000",25,9,1,Orlando Pirates
South Korea,,GK,Kim Seung-gyu,"September 30, 1990",35,86,0,FC Tokyo
South Korea,,GK,Jo Hyeon-woo,"September 25, 1991",34,48,0,Ulsan HD
South Korea,,GK,Song Bum-keun,"October 15, 1997",28,2,0,Jeonbuk Hyundai Motors
South Korea,,DF,Kim Min-jae,"November 15, 1996",29,78,4,Bayern Munich
South Korea,,DF,Kim Moon-hwan,"August 1, 1995",30,35,0,Daejeon Hana Citizen
South Korea,,DF,Seol Young-woo,"December 5, 1998",27,33,0,Red Star Belgrade
South Korea,,DF,Lee Tae-seok,"July 28, 2002",23,14,1,Austria Wien
South Korea,,DF,Park Jin-seob,"October 23, 1995",30,13,1,Zhejiang
South Korea,,DF,Kim Tae-hyeon,"September 17, 2000",25,7,0,Kashima Antlers
South Korea,,DF,Lee Han-beom,"June 17, 2002",23,7,0,Midtjylland
South Korea,,DF,Jens Castrop,"July 29, 2003",22,6,0,Borussia Mönchengladbach
South Korea,,DF,Lee Ki-hyuk,"July 7, 2000",25,2,0,Gangwon FC
South Korea,,DF,Cho Wi-je,"August 25, 2001",24,0,0,Jeonbuk Hyundai Motors
South Korea,,MF,Lee Jae-sung,"August 10, 1992",33,104,15,Mainz 05
South Korea,,MF,Hwang Hee-chan,"January 26, 1996",30,78,17,Wolverhampton Wanderers
South Korea,,MF,Hwang In-beom,"September 20, 1996",29,72,6,Feyenoord
South Korea,,MF,Lee Kang-in,"February 19, 2001",25,46,11,Paris Saint-Germain
South Korea,,MF,Paik Seung-ho,"March 17, 1997",29,26,3,Birmingham City
South Korea,,MF,Kim Jin-gyu,"February 24, 1997",29,21,3,Jeonbuk Hyundai Motors
South Korea,,MF,Lee Dong-gyeong,"September 20, 1997",28,17,3,Ulsan HD
South Korea,,MF,Bae Jun-ho,"August 21, 2003",22,13,2,Stoke City
South Korea,,MF,Eom Ji-sung,"May 9, 2002",24,9,2,Swansea City
South Korea,,MF,Yang Hyun-jun,"May 25, 2002",24,8,0,Celtic
South Korea,,FW,Son Heung-min (captain),"July 8, 1992",33,143,56,Los Angeles FC
South Korea,,FW,Cho Gue-sung,"January 25, 1998",28,43,12,Midtjylland
South Korea,,FW,Oh Hyeon-gyu,"April 12, 2001",25,26,6,Beşiktaş
Bosnia and Herzegovina,,GK,Nikola Vasilj,"December 2, 1995",30,25,0,FC St. Pauli
Bosnia and Herzegovina,,GK,Martin Zlomislić,"August 16, 1998",27,3,0,Rijeka
Bosnia and Herzegovina,,GK,Osman Hadžikić,"March 12, 1996",30,0,0,Slaven Belupo
Bosnia and Herzegovina,,DF,Sead Kolašinac,"June 20, 1993",32,64,0,Atalanta
Bosnia and Herzegovina,,DF,Dennis Hadžikadunić,"July 9, 1998",27,31,0,Sampdoria
Bosnia and Herzegovina,,DF,Amar Dedić,"August 18, 2002",23,27,1,Benfica
Bosnia and Herzegovina,,DF,Nikola Katić,"October 10, 1996",29,16,1,Schalke 04
Bosnia and Herzegovina,,DF,Tarik Muharemović,"February 28, 2003",23,13,1,Sassuolo
Bosnia and Herzegovina,,DF,Nihad Mujakić,"April 15, 1998",28,11,1,Gaziantep
Bosnia and Herzegovina,,DF,Stjepan Radeljić,"September 5, 1997",28,5,0,Rijeka
Bosnia and Herzegovina,,DF,Nidal Čelik,"July 17, 2006",19,1,0,Lens
Bosnia and Herzegovina,,MF,Amir Hadžiahmetović,"March 8, 1997",29,35,0,Hull City
Bosnia and Herzegovina,,MF,Benjamin Tahirović,"March 3, 2003",23,27,2,Brøndby
Bosnia and Herzegovina,,MF,Armin Gigović,"April 6, 2002",24,19,1,Young Boys
Bosnia and Herzegovina,,MF,Dženis Burnić,"May 22, 1998",28,19,0,Karlsruher SC
Bosnia and Herzegovina,,MF,Ivan Bašić,"April 30, 2002",24,16,0,Astana
Bosnia and Herzegovina,,MF,Esmir Bajraktarević,"March 10, 2005",21,15,1,PSV Eindhoven
Bosnia and Herzegovina,,MF,Amar Memić,"January 20, 2001",25,12,1,Viktoria Plzeň
Bosnia and Herzegovina,,MF,Ivan Šunjić,"October 9, 1996",29,11,0,Pafos
Bosnia and Herzegovina,,MF,Kerim Alajbegović,"September 21, 2007",18,9,1,Red Bull Salzburg
Bosnia and Herzegovina,,MF,Ermin Mahmić,"March 14, 2005",21,1,0,Slovan Liberec
Bosnia and Herzegovina,,FW,Edin Džeko (captain),"March 17, 1986",40,148,73,Schalke 04
Bosnia and Herzegovina,,FW,Ermedin Demirović,"March 25, 1998",28,39,4,VfB Stuttgart
Bosnia and Herzegovina,,FW,Samed Baždar,"January 31, 2004",22,12,1,Jagiellonia Białystok
Bosnia and Herzegovina,,FW,Haris Tabaković,"June 20, 1994",31,10,4,Borussia Mönchengladbach
Bosnia and Herzegovina,,FW,Jovo Lukić,"November 28, 1998",27,2,0,Universitatea Cluj
Canada,1,GK,Dayne St. Clair,"May 9, 1997",29,19,0,Inter Miami CF
Canada,2,DF,Alistair Johnston,"October 8, 1998",27,56,1,Celtic
Canada,3,DF,Luc de Fougerolles,"October 12, 2005",20,11,0,Dender
Canada,4,DF,Alfie Jones,"October 7, 1997",28,1,0,Middlesbrough
Canada,5,DF,Joel Waterman,"January 24, 1996",30,17,0,Chicago Fire FC
Canada,6,MF,Mathieu Choinière,"February 7, 1999",27,22,0,Los Angeles FC
Canada,7,MF,Stephen Eustáquio,"December 21, 1996",29,54,4,Los Angeles FC
Canada,8,MF,Ismaël Koné,"June 16, 2002",23,38,4,Sassuolo
Canada,9,FW,Cyle Larin,"April 17, 1995",31,88,30,Southampton
Canada,10,FW,Jonathan David,"January 14, 2000",26,75,39,Juventus
Canada,11,MF,Liam Millar,"September 27, 1999",26,39,1,Hull City
Canada,12,FW,Tani Oluwaseyi,"May 15, 2000",26,22,2,Villarreal
Canada,13,DF,Derek Cornelius,"November 25, 1997",28,42,1,Rangers
Canada,14,MF,Jacob Shaffelburg,"November 26, 1999",26,31,6,Los Angeles FC
Canada,15,DF,Moïse Bombito,"March 30, 2000",26,19,0,Nice
Canada,16,GK,Maxime Crépeau,"April 11, 1994",32,30,0,Orlando City SC
Canada,17,MF,Tajon Buchanan,"February 8, 1999",27,58,8,Villarreal
Canada,18,GK,Owen Goodman,"November 27, 2003",22,0,0,Barnsley
Canada,19,DF,Alphonso Davies (captain),"November 2, 2000",25,58,15,Bayern Munich
Canada,20,MF,Ali Ahmed,"October 10, 2000",25,24,1,Norwich City
Canada,21,MF,Jonathan Osorio,"June 12, 1992",33,89,9,Toronto FC
Canada,22,DF,Richie Laryea,"January 7, 1995",31,73,1,Toronto FC
Canada,23,DF,Niko Sigur,"September 9, 2003",22,17,2,Hajduk Split
Canada,24,FW,Promise David,"July 3, 2001",24,8,3,Union Saint-Gilloise
Canada,25,MF,Nathan Saliba,"February 7, 2004",22,13,2,Anderlecht
Qatar,1,GK,Mahmud Abunada,"February 5, 2000",26,4,0,Al-Rayyan
Qatar,2,DF,Pedro Miguel,"August 6, 1990",35,98,3,Al-Sadd
Qatar,3,DF,Lucas Mendes,"July 3, 1990",35,25,1,Al-Wakrah
Qatar,4,DF,Issa Laye,"December 22, 1997",28,3,0,Al-Arabi
Qatar,5,MF,Jassem Gaber,"February 20, 2002",24,31,1,Al-Rayyan
Qatar,6,MF,Abdulaziz Hatem,"October 28, 1990",35,117,11,Al-Rayyan
Qatar,7,FW,Ahmed Alaaeldin,"January 31, 1993",33,67,9,Al-Rayyan
Qatar,8,FW,Edmilson Junior,"August 19, 1994",31,15,0,Al-Duhail
Qatar,9,FW,Mohammed Muntari,"December 20, 1993",32,67,16,Al-Gharafa
Qatar,10,FW,Hassan Al-Haydos (captain),"December 11, 1990",35,185,41,Al-Sadd
Qatar,11,FW,Akram Afif,"November 18, 1996",29,124,39,Al-Sadd
Qatar,12,MF,Karim Boudiaf,"September 16, 1990",35,117,5,Al-Duhail
Qatar,13,DF,Ayoub Al-Oui,"March 11, 2005",21,5,0,Al-Gharafa
Qatar,14,DF,Homam Ahmed,"August 25, 1999",26,67,3,Cultural Leonesa
Qatar,15,FW,Yusuf Abdurisag,"August 6, 1999",26,38,3,Al-Wakrah
Qatar,16,DF,Boualem Khoukhi,"July 9, 1990",35,115,20,Al-Sadd
Qatar,17,FW,Ahmed Al-Ganehi,"September 22, 2000",25,13,1,Al-Gharafa
Qatar,18,DF,Sultan Al-Brake,"April 7, 1996",30,16,0,Al-Duhail
Qatar,19,FW,Almoez Ali,"August 19, 1996",29,115,55,Al-Duhail
Qatar,20,MF,Ahmed Fathy,"January 25, 1993",33,47,0,Al-Arabi
Qatar,21,GK,Salah Zakaria,"April 24, 1999",27,8,0,Al-Duhail
Qatar,22,GK,Meshaal Barsham,"February 14, 1998",28,52,0,Al-Sadd
Qatar,23,MF,Assim Madibo,"October 22, 1996",29,50,0,Al-Wakrah
Qatar,24,FW,Tahsin Jamshid,"June 16, 2006",19,2,0,Al-Duhail
Qatar,25,DF,Al-Hashmi Al-Hussain,"August 15, 2003",22,7,0,Al-Arabi
Qatar,26,MF,Mohamed Al-Mannai,"October 30, 2003",22,9,0,Al-Shamal
Switzerland,1,GK,Gregor Kobel,"December 6, 1997",28,20,0,Borussia Dortmund
Switzerland,2,DF,Miro Muheim,"March 24, 1998",28,9,0,Hamburger SV
Switzerland,3,DF,Silvan Widmer,"March 5, 1993",33,59,5,Mainz 05
Switzerland,4,DF,Nico Elvedi,"September 30, 1996",29,66,3,Borussia Mönchengladbach
Switzerland,5,DF,Manuel Akanji,"July 19, 1995",30,80,4,Inter Milan
Switzerland,6,MF,Denis Zakaria,"November 20, 1996",29,64,3,Monaco
Switzerland,7,FW,Breel Embolo,"February 14, 1997",29,86,24,Rennes
Switzerland,8,MF,Remo Freuler,"April 15, 1992",34,87,11,Bologna
Switzerland,9,MF,Johan Manzambi,"October 14, 2005",20,11,3,SC Freiburg
Switzerland,10,MF,Granit Xhaka (captain),"September 27, 1992",33,145,17,Sunderland
Switzerland,11,FW,Dan Ndoye,"October 25, 2000",25,30,7,Nottingham Forest
Switzerland,12,GK,Yvon Mvogo,"June 6, 1994",32,13,0,Lorient
Switzerland,13,DF,Ricardo Rodriguez,"August 25, 1992",33,137,9,Real Betis
Switzerland,14,MF,Ardon Jashari,"July 30, 2002",23,7,0,Milan
Switzerland,15,MF,Djibril Sow,"February 6, 1997",29,51,0,Sevilla
Switzerland,16,MF,Christian Fassnacht,"November 11, 1993",32,22,5,Young Boys
Switzerland,17,FW,Rubén Vargas,"August 5, 1998",27,61,11,Sevilla
Switzerland,18,DF,Eray Cömert,"February 4, 1998",28,21,0,Valencia
Switzerland,19,FW,Noah Okafor,"May 24, 2000",26,24,2,Leeds United
Switzerland,20,MF,Michel Aebischer,"January 6, 1997",29,39,2,Pisa
Switzerland,21,GK,Marvin Keller,"July 3, 2002",23,1,0,Young Boys
Switzerland,22,MF,Fabian Rieder,"February 16, 2002",24,27,1,FC Augsburg
Switzerland,23,FW,Zeki Amdouni,"December 4, 2000",25,28,11,Burnley
Switzerland,24,DF,Aurèle Amenda,"July 31, 2003",22,6,0,Eintracht Frankfurt
Switzerland,25,DF,Luca Jaquez,"June 2, 2003",23,3,0,VfB Stuttgart
Switzerland,26,FW,Cedric Itten,"December 27, 1996",29,14,5,Fortuna Düsseldorf
Brazil,1,GK,Alisson,"October 2, 1992",33,77,0,Liverpool
Brazil,2,DF,Wesley,"September 6, 2003",22,7,0,Roma
Brazil,3,DF,Gabriel Magalhães,"December 19, 1997",28,17,1,Arsenal
Brazil,4,DF,Marquinhos (captain),"May 14, 1994",32,104,7,Paris Saint-Germain
Brazil,5,MF,Casemiro,"February 23, 1992",34,85,9,Manchester United
Brazil,6,DF,Alex Sandro,"January 26, 1991",35,44,2,Flamengo
Brazil,7,FW,Vinícius Júnior,"July 12, 2000",25,48,9,Real Madrid
Brazil,8,MF,Bruno Guimarães,"November 16, 1997",28,42,2,Newcastle United
Brazil,9,FW,Matheus Cunha,"May 27, 1999",27,22,1,Manchester United
Brazil,10,FW,Neymar,"February 5, 1992",34,128,79,Santos
Brazil,11,FW,Raphinha,"December 14, 1996",29,38,11,Barcelona
Brazil,12,GK,Weverton,"December 13, 1987",38,10,0,Grêmio
Brazil,13,DF,Danilo Luiz,"July 15, 1991",34,69,1,Flamengo
Brazil,14,DF,Bremer,"March 18, 1997",29,7,1,Juventus
Brazil,15,DF,Léo Pereira,"January 31, 1996",30,3,0,Flamengo
Brazil,16,DF,Douglas Santos,"March 22, 1994",32,6,0,Zenit Saint Petersburg
Brazil,17,MF,Fabinho,"October 23, 1993",32,32,0,Al-Ittihad
Brazil,18,MF,Danilo Santos,"April 29, 2001",25,3,2,Botafogo
Brazil,19,FW,Endrick,"July 21, 2006",19,16,3,Lyon
Brazil,20,MF,Lucas Paquetá,"August 27, 1997",28,62,13,Flamengo
Brazil,21,FW,Luiz Henrique,"January 2, 2001",25,14,2,Zenit Saint Petersburg
Brazil,22,FW,Gabriel Martinelli,"June 18, 2001",24,22,4,Arsenal
Brazil,23,GK,Ederson,"August 17, 1993",32,32,0,Fenerbahçe
Brazil,24,DF,Roger Ibañez,"November 23, 1998",27,6,0,Al-Ahli
Brazil,25,FW,Igor Thiago,"June 26, 2001",24,3,2,Brentford
Brazil,26,FW,Rayan,"August 3, 2006",19,2,1,Bournemouth
Haiti,,GK,Johny Placide (captain),"January 29, 1988",38,79,0,Bastia
Haiti,,GK,Alexandre Pierre,"February 25, 2001",25,14,0,Sochaux
Haiti,,GK,Josué Duverger,"April 27, 2000",26,6,0,Cosmos Koblenz
Haiti,,DF,Ricardo Adé,"May 21, 1990",36,57,2,LDU Quito
Haiti,,DF,Carlens Arcus,"June 28, 1996",29,51,1,Angers
Haiti,,DF,Martin Expérience,"March 9, 1999",27,19,0,Nancy
Haiti,,DF,Jean-Kévin Duverne,"July 12, 1997",28,15,1,Gent
Haiti,,DF,Duke Lacroix,"October 14, 1993",32,14,2,Colorado Springs Switchbacks FC
Haiti,,DF,Wilguens Paugain,"August 24, 2001",24,6,0,Zulte Waregem
Haiti,,DF,Hannes Delcroix,"February 28, 1999",27,5,0,Lugano
Haiti,,DF,Keeto Thermoncy,"March 29, 2006",20,1,0,Young Boys
Haiti,,MF,Leverton Pierre,"March 9, 1998",28,33,0,Vizela
Haiti,,MF,Danley Jean Jacques,"May 20, 2000",26,28,6,Philadelphia Union
Haiti,,MF,Carl Sainté,"August 9, 2002",23,25,0,El Paso Locomotive FC
Haiti,,MF,Jean-Ricner Bellegarde,"June 27, 1998",27,8,0,Wolverhampton Wanderers
Haiti,,MF,Woodensky Pierre,"December 30, 2004",21,1,0,Violette
Haiti,,MF,Dominique Simon,"July 29, 2000",25,0,0,Tatran Prešov
Haiti,,FW,Duckens Nazon,"April 7, 1994",32,76,44,Esteghlal
Haiti,,FW,Frantzdy Pierrot,"March 29, 1995",31,49,33,Çaykur Rizespor
Haiti,,FW,Derrick Etienne Jr.,"November 25, 1996",29,46,8,Toronto FC
Haiti,,FW,Louicius Deedson,"February 11, 2001",25,30,10,FC Dallas
Haiti,,FW,Ruben Providence,"July 7, 2001",24,13,2,Almere City
Haiti,,FW,Josué Casimir,"September 24, 2001",24,5,0,Auxerre
Haiti,,FW,Yassin Fortuné,"January 30, 1999",27,3,0,Vizela
Haiti,,FW,Wilson Isidor,"August 27, 2000",25,2,1,Sunderland
Haiti,,FW,Lenny Joseph,"October 12, 2000",25,0,0,Ferencváros
Morocco,,GK,Yassine Bounou,"April 5, 1991",35,89,0,Al-Hilal
Morocco,,GK,Munir Mohamedi,"May 10, 1989",37,51,0,RS Berkane
Morocco,,GK,Ahmed Reda Tagnaouti,"April 5, 1996",30,3,0,AS FAR
Morocco,,DF,Achraf Hakimi (captain),"November 4, 1998",27,95,11,Paris Saint-Germain
Morocco,,DF,Nayef Aguerd,"March 30, 1996",30,64,2,Marseille
Morocco,,DF,Noussair Mazraoui,"November 14, 1997",28,43,2,Manchester United
Morocco,,DF,Youssef Belammari,"September 20, 1998",27,16,0,Al Ahly
Morocco,,DF,Anass Salah-Eddine,"January 18, 2002",24,8,0,PSV Eindhoven
Morocco,,DF,Chadi Riad,"June 17, 2003",22,4,1,Crystal Palace
Morocco,,DF,Issa Diop,"January 9, 1997",29,2,0,Fulham
Morocco,,DF,Zakaria El Ouahdi,"December 31, 2001",24,2,0,Genk
Morocco,,DF,Redouane Halhal,"March 5, 2003",23,1,0,Mechelen
Morocco,,MF,Sofyan Amrabat,"August 21, 1996",29,73,0,Real Betis
Morocco,,MF,Azzedine Ounahi,"April 19, 2000",26,47,9,Girona
Morocco,,MF,Bilal El Khannouss,"May 10, 2004",22,35,3,VfB Stuttgart
Morocco,,MF,Ismael Saibari,"January 28, 2001",25,28,7,PSV Eindhoven
Morocco,,MF,Neil El Aynaoui,"July 2, 2001",24,15,2,Roma
Morocco,,MF,Samir El Mourabet,"August 6, 2006",19,2,0,Strasbourg
Morocco,,MF,Ayyoub Bouaddi,"October 2, 2007",18,1,0,Lille
Morocco,,FW,Ayoub El Kaabi,"June 25, 1993",32,57,22,Olympiacos
Morocco,,FW,Soufiane Rahimi,"June 2, 1996",30,35,11,Al-Ain
Morocco,,FW,Abde Ezzalzouli,"December 17, 2001",24,35,2,Real Betis
Morocco,,FW,Brahim Díaz,"August 3, 1999",26,24,13,Real Madrid
Morocco,,FW,Chemsdine Talbi,"May 9, 2005",21,5,0,Sunderland
Morocco,,FW,Gessime Yassine,"November 22, 2005",20,3,0,Strasbourg
Morocco,,FW,Ayoube Amaimouni,"November 30, 2004",21,0,0,Eintracht Frankfurt
Scotland,,GK,Craig Gordon,"December 31, 1982",43,84,0,Heart of Midlothian
Scotland,,GK,Angus Gunn,"January 22, 1996",30,21,0,Nottingham Forest
Scotland,,GK,Liam Kelly,"January 23, 1996",30,3,0,Rangers
Scotland,,DF,Andy Robertson (captain),"March 11, 1994",32,93,4,Liverpool
Scotland,,DF,Grant Hanley,"November 20, 1991",34,67,2,Hibernian
Scotland,,DF,Kieran Tierney,"June 5, 1997",29,55,2,Celtic
Scotland,,DF,Scott McKenna,"November 12, 1996",29,50,1,Dinamo Zagreb
Scotland,,DF,Jack Hendry,"May 7, 1995",31,37,3,Al-Ettifaq
Scotland,,DF,Nathan Patterson,"October 16, 2001",24,26,1,Everton
Scotland,,DF,Anthony Ralston,"November 16, 1998",27,26,1,Celtic
Scotland,,DF,John Souttar,"September 25, 1996",29,23,2,Rangers
Scotland,,DF,Aaron Hickey,"June 10, 2002",24,20,0,Brentford
Scotland,,DF,Dominic Hyam,"December 20, 1995",30,3,0,Wrexham
Scotland,,MF,John McGinn,"October 18, 1994",31,85,20,Aston Villa
Scotland,,MF,Scott McTominay,"December 8, 1996",29,69,14,Napoli
Scotland,,MF,Ryan Christie,"February 22, 1995",31,67,10,Bournemouth
Scotland,,MF,Kenny McLean,"January 8, 1992",34,57,3,Norwich City
Scotland,,MF,Lewis Ferguson,"August 24, 1999",26,23,1,Bologna
Scotland,,MF,Ben Gannon-Doak,"November 11, 2005",20,13,1,Bournemouth
Scotland,,MF,Findlay Curtis,"June 9, 2006",20,2,1,Kilmarnock
Scotland,,MF,Tyler Fletcher,"March 19, 2007",19,1,0,Manchester United
Scotland,,FW,Lyndon Dykes,"October 7, 1995",30,51,10,Charlton Athletic
Scotland,,FW,Ché Adams,"July 13, 1996",29,46,11,Torino
Scotland,,FW,Lawrence Shankland,"August 10, 1995",30,19,6,Heart of Midlothian
Scotland,,FW,George Hirst,"February 15, 1999",27,9,1,Ipswich Town
Scotland,,FW,Ross Stewart,"July 11, 1996",29,2,0,Southampton
Australia,1,GK,Mathew Ryan (captain),"April 8, 1992",34,104,0,Levante
Australia,2,DF,Miloš Degenek,"April 28, 1994",32,56,1,APOEL
Australia,3,DF,Alessandro Circati,"October 10, 2003",22,12,1,Parma
Australia,4,DF,Jacob Italiano,"July 30, 2001",24,4,0,GAK
Australia,5,DF,Jordan Bos,"October 29, 2002",23,26,4,Feyenoord
Australia,6,DF,Jason Geria,"May 10, 1993",33,13,0,Albirex Niigata
Australia,7,FW,Mathew Leckie,"February 4, 1991",35,79,14,Melbourne City
Australia,8,MF,Connor Metcalfe,"November 5, 1999",26,35,1,FC St. Pauli
Australia,9,FW,Mohamed Touré,"March 26, 2004",22,9,2,Norwich City
Australia,10,MF,Ajdin Hrustic,"July 5, 1996",29,37,4,Heracles Almelo
Australia,11,FW,Awer Mabil,"September 15, 1995",30,38,10,Castellón
Australia,12,GK,Paul Izzo,"January 6, 1995",31,4,0,Randers
Australia,13,MF,Aiden O'Neill,"July 4, 1998",27,30,0,New York City FC
Australia,14,MF,Cammy Devlin,"June 7, 1998",28,4,0,Heart of Midlothian
Australia,15,DF,Kai Trewin,"May 18, 2001",25,5,0,New York City FC
Australia,16,DF,Aziz Behich,"December 16, 1990",35,83,3,Melbourne City
Australia,17,FW,Nestory Irankunda,"February 9, 2006",20,14,5,Watford
Australia,18,GK,Patrick Beach,"August 6, 2003",22,1,0,Melbourne City
Australia,19,DF,Harry Souttar,"October 22, 1998",27,37,11,Leicester City
Australia,20,FW,Cristian Volpato,"November 15, 2003",22,0,0,Sassuolo
